Pack 1: Success & Failure,Pack 2: Truth & Lies,Pack 3: Media & Entertainment,Pack 4: Regrets & Turning Points,Pack 5: Attraction & Identity,Pack 6: Ambition & Competition,Pack 7: Mystery & Crime,Pack 8: Systems & Society
achievement,deception,streaming,regret,attraction,benchmark,suspect,institution
setback,sincerity,algorithm,crossroads,obsession,leverage,testimony,hierarchy
milestone,integrity,franchise,opportunity,personality,disruption,alibi,bureaucracy
breakthrough,allegation,narrative,consequence,deal breaker,dominance,motive,inequality
resilience,distortion,celebrity,reflection,chemistry,merit,forensics,legislation
ambition,cover-up,audience,hindsight,phase,hustle,jurisdiction,oversight
recognition,transparency,platform,burden,habit,contender,verdict,mechanism
downfall,manipulation,ratings,aftermath,preference,prestige,perpetrator,reform
reputation,fabrication,sequel,closure,identity,pursuit,witness,coalition
momentum,whistleblower,influencer,decision,pattern,edge,accomplice,authority
obstacle,propaganda,tabloid,realization,connection,incentive,surveillance,compliance
legacy,rumor,premiere,loss,type,outsider,conspiracy,regime
persistence,disclosure,screenplay,redemption,vibe,summit,evidence,legitimacy
comeback,accountability,genre,path,compatibility,turnaround,interrogation,policy
sacrifice,misinformation,portrayal,reconciliation,instinct,quota,corruption,marginalization
credibility,betrayal,coverage,second chance,spark,promotion,breach,framework
rivalry,illusion,blockbuster,watershed,desire,negotiation,detective,census
burnout,half-truth,controversy,dilemma,vulnerability,shortlist,clue,subsidy
accolade,bias,brand,longing,boundary,runner-up,informant,constituency
determination,agenda,critic,nostalgia,attachment,pitfall,prosecution,ideology
plateau,facade,format,resolution,impression,competitor,extortion,norm
underdog,confession,fandom,wound,gut feeling,headhunter,loophole,privilege
pinnacle,disinformation,spotlight,what-if,red flag,stakeholder,misconduct,governance
turning point,trust,debut,pivotal moment,comfort zone,pipeline,threat,mobilization
adversity,denial,backlash,estrangement,shift,coercion,disparity
