Pack 1: Daily Routine,Pack 2: Home & Communication,Pack 3: Travel & Adventure,Pack 4: Feelings & Reactions,Pack 5: Action & Strategy,Pack 6: Social & Relationships,Pack 7: Science & Lab,Pack 8: Corporate & Economy,Pack 9: Hospital & Health
wake up (despertar),get in (entrar),travel (viajar),feel (sentir),complete (completar),invite (invitar),describe (describir),hire (contratar),cure (curar)
shower (ducharse),get out (salir),pack (empacar),want (querer),report (reportar),accept (aceptar),identify (identificar),fire (despedir),heal (sanar)
prepare (preparar),agree (acordar),depart (partir),need (necesitar),solve (resolver),refuse (rechazar),realize (darse cuenta),earn (ganar dinero),suffer (sufrir)
take (tomar/llevar),dance (bailar),tour (recorrer),love (amar),suggest (sugerir),offer (ofrecer),recognize (reconocer),spend (gastar),bleed (sangrar)
pick up (recoger),arrive (llegar),navigate (navegar),hate (odiar),warn (advertir),advise (aconsejar),suppose (suponer),invest (invertir),recover (recuperarse)
get (conseguir),practice (practicar),explore (explorar),prefer (preferir),accomplish (lograr),encourage (animar),guess (adivinar),owe (deber),examine (examinar)
start (empezar),say (decir),board (abordar),hope (esperar),compare (comparar),support (apoyar),measure (medir),promote (promover),diagnose (diagnosticar)
work (trabajar),tell (contar),land (aterrizar),enjoy (disfrutar),park (estacionar),recommend (recomendar),weigh (pesar),retire (jubilarse),prescribe (recetar)
help (ayudar),speak (hablar),take off (despegar),miss (extrañar),carry (cargar),promise (prometer),fill (llenar),resign (renunciar),treat (tratar)
send (enviar),talk (conversar),swim (nadar),care (importar),pay (pagar),introduce (presentar),empty (vaciar),operate (operar),hurt (lastimar)
attend (asistir),rest (descansar),book (reservar),celebrate (celebrar),push (empujar),greet (saludar),burn (quemar),produce (producir),ache (doler)
drive (manejar),close (cerrar),check in (registrarse),complain (quejarse),pull (jalar),forgive (perdonar),freeze (congelar),manufacture (fabricar),cough (toser)
fill up (llenar),write (escribir),check out (salir del hotel),cry (llorar),show (mostrar),praise (elogiar),melt (derretir),distribute (distribuir),sneeze (estornudar)
review (revisar),read (leer),stay (quedarse),laugh (reír),save (ahorrar),criticize (criticar),mix (mezclar),store (almacenar),breathe (respirar)
sell (vender),call (llamar),move (mudarse),smile (sonreír),raise (levantar),appreciate (apreciar),connect (conectar),export (exportar),faint (desmayarse)
upload (subir),answer (responder),return (regresar),relax (relajarse),go down (bajar),thank (agradecer),observe (observar),import (importar),vomit (vomitar)
download (descargar),wait for (esperar),come (venir),worry (preocuparse),increase (aumentar),blame (culpar),test (probar/testear),inspect (inspeccionar),swell (hincharse)
leave (salir/dejar),meet (conocer),guide (guiar),panic (entrar en pánico),reduce (reducir),ignore (ignorar),analyze (analizar),negotiate (negociar),itch (picar)
make (hacer/crear),check (revisar),wander (deambular),plan (planear),reach (alcanzar),respect (respetar),prove (demostrar),persuade (persuadir),exercise (ejercitarse)
do (hacer/acción),find (encontrar),escape (escapar),dream (soñar),pass (pasar),admire (admirar),discover (descubrir),convince (convencer),stretch (estirar)
visit (visitar),look for (buscar),survive (sobrevivir),decide (decidir),throw (lanzar),apologize (disculparse),invent (inventar),represent (representar),inject (inyectar)
walk (caminar),eat (comer),accommodate (alojar),expect (prever),catch (atrapar),congratulate (felicitar),calculate (calcular),regulate (regular),scan (escanear)
own (poseer),drink (beber),cancel (cancelar),wonder (preguntarse),jump (saltar),comfort (consolar),dissolve (disolver),govern (gobernar),monitor (monitorear)
feed (alimentar),cook (cocinar),camp (acampar),imagine (imaginar),run (correr),defend (defender),contain (contener),vote (votar),swallow (tragar)
go (ir),clean (limpiar),ride (montar),choose (elegir),hide (esconder),argue (discutir),heat (calentar),resolve (resolver),bandage (vendar)
see (ver),wash (lavar),fly (volar),fear (temer),stand (pararse),teach (enseñar),cool (enfriar),cooperate (cooperar),stitch (suturar)
sleep (dormir),turn on (encender),hike (hacer senderismo),trust (confiar),change (cambiar),protect (proteger),think (pensar),compete (competir),infect (infectar)
bring (traer),turn off (apagar),sail (navegar en barco),regret (arrepentirse),improve (mejorar),allow (permitir),believe (creer),win (ganar),vaccinate (vacunar)
buy (comprar),use (usar),climb (escalar),remember (recordar),fix (arreglar),join (unirse),know (saber),beat (vencer),sanitize (desinfectar)
lend (prestar),brush (cepillar),cross (cruzar),forget (olvidar),develop (desarrollar),share (compartir),grow (crecer),gain (obtener),relapse (recaer)
