Pack 1: Success & Failure,Pack 2: Truth & Lies,Pack 3: Media & Entertainment,Pack 4: Regrets & Turning Points,Pack 5: Attraction & Identity,Pack 6: Ambition & Competition,Pack 7: Mystery & Crime,Pack 8: Systems & Society
resilient,deceptive,viral,irreversible,magnetic,high-stakes,suspicious,systemic
driven,transparent,genre-defining,pivotal,irresistible,ruthless,gripping,entrenched
relentless,credible,formulaic,life-changing,compatible,strategic,incriminating,polarized
groundbreaking,misleading,polarizing,bittersweet,genuine,formidable,questionable,authoritarian
ambitious,fabricated,overexposed,defining,vulnerable,competitive,premeditated,progressive
tenacious,manipulative,critically acclaimed,haunting,intense,high-pressure,covert,dysfunctional
mediocre,forthright,binge-worthy,unresolved,charming,audacious,circumstantial,corrupt
accomplished,unreliable,sensationalist,consequential,guarded,overqualified,clandestine,inclusive
overrated,biased,immersive,transformative,spontaneous,uncompromising,morally ambiguous,grassroots
pioneering,candid,overhyped,fateful,self-aware,goal-oriented,forensic,centralized
triumphant,deceitful,nuanced,profound,toxic,risk-taking,elusive,inequitable
self-made,unverified,niche,belated,effortless,performance-driven,deliberate,democratic
cutthroat,trustworthy,captivating,wistful,charismatic,merit-based,contradictory,bureaucratic
underrated,calculated,mainstream,avoidable,unavailable,results-oriented,chilling,fragmented
hard-won,evasive,thought-provoking,missed,superficial,profit-seeking,inconclusive,top-down
